,Iteration,LWT
0,1,0.0
1,2,0.0
2,3,0.0
3,4,0.0
4,5,1.075
5,6,1.075
6,7,1.075
7,8,1.075
8,9,1.075
9,10,1.075
10,11,1.075
11,12,1.075
12,13,1.075
13,14,1.075
14,15,1.075
15,16,1.075
16,17,1.075
17,18,1.075
18,19,1.075
19,20,1.075
20,21,1.075
21,22,1.075
22,23,1.075
23,24,1.075
24,25,1.075
25,26,1.075
26,27,1.075
27,28,1.075
28,29,1.075
29,30,1.075
30,31,1.075
31,32,1.075
32,33,2.15
33,34,2.15
34,35,2.15
35,36,2.15
36,37,2.15
37,38,2.15
38,39,2.15
39,40,2.15
40,41,2.15
41,42,2.15
42,43,2.15
43,44,2.15
44,45,2.15
45,46,2.15
46,47,2.15
47,48,2.15
48,49,2.15
49,50,2.15
50,51,2.15
51,52,2.15
52,53,2.15
53,54,2.15
54,55,2.15
55,56,2.15
56,57,2.15
57,58,2.15
58,59,2.15
59,60,2.15
60,61,2.15
61,62,2.15
62,63,2.15
63,64,2.15
64,65,2.15
65,66,2.15
66,67,2.15
67,68,2.15
68,69,2.15
69,70,2.15
70,71,2.15
71,72,2.15
72,73,2.15
73,74,2.15
74,75,2.15
75,76,2.15
76,77,2.15
77,78,2.15
78,79,2.15
79,80,2.15
80,81,2.15
81,82,2.15
82,83,2.15
83,84,2.15
84,85,2.15
85,86,2.15
86,87,2.15
87,88,2.15
88,89,2.15
89,90,2.15
90,91,2.15
91,92,2.15
92,93,2.15
93,94,2.15
94,95,2.15
95,96,2.15
96,97,2.15
97,98,2.15
98,99,2.15
99,100,2.15
