individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,197.8,13,0.0008296813813230634,6
0,2,222.8,13,0.0008296813813230634,6
1,1,168.5,11,0.0007610715493316447,6
1,2,149.7,11,0.0007610715493316447,6
2,1,90.5,2,0.0010539934448852853,5
2,2,186.5,2,0.0010539934448852853,5
3,1,252.7,2,0.0013453888340703177,7
3,2,186.5,2,0.0013453888340703177,7
4,1,106.3,19,0.0007506908806169212,6
4,2,222.5,19,0.0007506908806169212,6
5,1,211.8,19,0.0011395352316322749,7
5,2,100.3,19,0.0011395352316322749,7
6,1,266.8,10,0.005751228667463456,46
6,2,69.0,10,0.005751228667463456,46
7,1,85.8,12,0.0009935989539496348,6
7,2,194.9,12,0.0009935989539496348,6
8,1,252.4,19,0.0005661459741390111,6
8,2,100.3,19,0.0005661459741390111,6
9,1,100.3,5,0.0007601448685031397,5
9,2,234.6,5,0.0007601448685031397,5
10,1,100.3,11,0.0019283114889775677,13
10,2,225.3,11,0.0019283114889775677,13
11,1,246.0,8,0.002395436618044638,13
11,2,85.8,8,0.002395436618044638,13
12,1,285.9,13,0.0009929197188817635,8
12,2,76.4,13,0.0009929197188817635,8
13,1,103.2,10,0.0015721477037068867,12
13,2,249.2,10,0.0015721477037068867,12
14,1,187.9,13,0.0005026410403612396,8
14,2,70.8,13,0.0005026410403612396,8
15,1,100.3,5,0.0011395352316322749,13
15,2,224.8,5,0.0011395352316322749,13
16,1,229.4,2,0.001472456840744405,9
16,2,85.8,2,0.001472456840744405,9
17,1,75.6,8,0.0003277557357253752,3
17,2,204.7,8,0.0003277557357253752,3
18,1,92.5,12,0.001441834541598929,10
18,2,246.0,12,0.001441834541598929,10
19,1,97.8,11,0.0005060088551549652,4
19,2,286.8,11,0.0005060088551549652,4
