individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,85.8,14,0.0004237824161922834,3
0,2,85.8,14,0.0004237824161922834,3
1,1,167.9,3,9.338702268226808e-05,2
1,2,167.9,3,9.338702268226808e-05,2
2,1,85.8,20,0.00010786933530892894,3
2,2,85.8,20,0.00010786933530892894,3
3,1,105.3,2,0.0003542061986084756,3
3,2,105.3,2,0.0003542061986084756,3
4,1,133.1,10,0.00030713478299680355,3
4,2,132.1,10,0.00030713478299680355,3
5,1,153.8,7,0.0001771030993042378,2
5,2,153.8,7,0.0001771030993042378,2
6,1,118.4,1,0.0006224544194628215,5
6,2,100.3,1,0.0006224544194628215,5
7,1,118.4,1,0.0007138136631324464,7
7,2,100.3,1,0.0007138136631324464,7
8,1,153.8,7,0.0002530044275774826,3
8,2,153.8,7,0.0002530044275774826,3
9,1,167.9,3,0.00020723901509213524,3
9,2,167.9,3,0.00020723901509213524,3
10,1,85.8,20,0.00011161292733227025,4
10,2,85.8,20,0.00011161292733227025,4
11,1,133.1,10,0.0005751412301996419,8
11,2,112.6,10,0.0005751412301996419,8
12,1,167.7,3,0.0002762402226132669,5
12,2,167.9,3,0.0002762402226132669,5
13,1,167.9,3,0.0003590416716386248,4
13,2,167.9,3,0.0003590416716386248,4
14,1,120.5,3,0.0009455732059774671,9
14,2,167.9,3,0.0009455732059774671,9
15,1,206.0,3,0.00038666342505630096,7
15,2,167.9,3,0.00038666342505630096,7
16,1,118.4,1,0.0015951750487322803,18
16,2,200.9,1,0.0015951750487322803,18
17,1,182.7,12,0.0032483537944034855,22
17,2,80.7,12,0.0032483537944034855,22
18,1,85.8,12,0.003314571414370899,29
18,2,230.7,12,0.003314571414370899,29
19,1,323.8,12,0.00799440035206781,70
19,2,96.9,12,0.00799440035206781,70
