individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,210.9,7,8.210206059986282e-05,5
0,2,210.9,7,8.210206059986282e-05,5
1,1,210.9,3,0.0001676576582197095,6
1,2,278.0,3,0.0001676576582197095,6
2,1,278.0,3,9.767480629224987e-05,9
2,2,210.9,3,9.767480629224987e-05,9
3,1,210.9,3,0.00018976785544266877,8
3,2,278.0,3,0.00018976785544266877,8
4,1,210.9,7,0.00017854130558637491,10
4,2,210.9,7,0.00017854130558637491,10
5,1,278.0,10,0.00010313928469622245,8
5,2,245.3,10,0.00010313928469622245,8
6,1,245.3,3,0.0001598366257427016,6
6,2,278.0,3,0.0001598366257427016,6
7,1,245.3,1,8.202350679194604e-05,4
7,2,278.0,1,8.202350679194604e-05,4
8,1,278.0,3,0.00011947448210205718,10
8,2,210.9,3,0.00011947448210205718,10
9,1,278.0,3,0.0001287215481962099,6
9,2,210.9,3,0.0001287215481962099,6
10,1,220.8,10,5.2348254517563025e-05,5
10,2,278.0,10,5.2348254517563025e-05,5
11,1,210.9,1,0.00014900469183524935,7
11,2,278.0,1,0.00014900469183524935,7
12,1,210.9,20,0.000195490158181483,9
12,2,393.6,20,0.000195490158181483,9
13,1,278.0,1,4.4139993728744066e-05,3
13,2,210.9,1,4.4139993728744066e-05,3
14,1,210.9,11,4.3416387274174486e-05,2
14,2,290.6,11,4.3416387274174486e-05,2
15,1,245.3,2,8.011051176307901e-05,6
15,2,304.5,2,8.011051176307901e-05,6
16,1,210.9,20,0.00014272414118489006,9
16,2,393.6,20,0.00014272414118489006,9
17,1,209.6,20,0.00267881283657638,159
17,2,421.9,20,0.00267881283657638,159
18,1,210.9,7,4.257993886148581e-05,5
18,2,290.1,7,4.257993886148581e-05,5
19,1,321.9,16,5.456524661271206e-05,6
19,2,210.9,16,5.456524661271206e-05,6
